SampleID	Rx	sex	SiteType	Sampled_by	Date	Latitude	SampleCategory	ShotgunEndo	ShotgunClonality					
A17407_Bbonasus_Lithuania_na	0.473793687	M	NA	E._Hofman-Kami_ska	NA	54.652312	Crania	0.019027043	0.015686275					
A17432_Bbonasus_Denmark_na	0.469777621	M	NA	E._Hofman-Kami_ska	NA	55.401959	Other	0.018596426	0.021406012					
A17444_Bbonasus_Lithuania_na	1.007239372	F	NA	E._Hofman-Kami_ska	NA	54.652312	Longbone	0.601049843	0.012007304					
A17445_Bprimigenius_Lithuania_na	0.548894512	M	NA	E._Hofman-Kami_ska	NA	54.652312	Longbone	0.183682409	0.011359662					
A17446_Bbonasus_Lithuania_na	0.51449077	M	NA	E._Hofman-Kami_ska	NA	54.652312	Longbone	0.025400404	0.012603005					
A17447_Bbonasus_Lithuania_na	0.49298485	M	NA	E._Hofman-Kami_ska	NA	54.652312	Longbone	0.061735669	0.015237782					
A17461_Bbonasus_Poland_na	0.889971213	F	NA	E._Hofman-Kami_ska	NA	53.828053	Crania	0.010875535	0.010283364					
A17462_Bbonasus_Poland_na	0.502978129	M	NA	E._Hofman-Kami_ska	NA	53.828053	Longbone	0.177176668	0.011503029					
A17488_Bpriscus_Russia_na	0.479998083	M	NA	E._Hofman-Kami_ska	NA	65.629835	Crania	0.046646232	0.011679259					
A17492_BisonX_Ukraine_na	0.520073045	M	NA	E._Hofman-Kami_ska	NA	48.3794	Crania	0.008546449	0.013217182					
A17500_Bbonasus_Belarus_na	0.509499729	M	NA	E._Hofman-Kami_ska	NA	54.2667	Other	0.003603155	0.012758931					
A17505_Bbonasus_Poland_na	0.875434164	F	NA	E._Hofman-Kami_ska	NA	50.395579	Crania	0.064805887	0.012051012					
A17507_BisonX_Poland_Pleistocene	0.495708129	M	NA	E._Hofman-Kami_ska	NA	52.076397	Crania	0.071799305	0.017717347					
A17685_Bpriscus_HitchingPostAB_ND	0.899989895	F	NA	Bastien_Llamas	NA	51.416558	Petrosal	0.259656246	0.000428925					
A17993_Bbonasus_Armenia_na	0.502909647	M	Lacustrine	E._Hofman-Kami_ska	NA	40.0690990	Crania	0.17325755	0.020927978					
A17994_Bbonasus_Armenia_na	0.534270383	M	Lacustrine	E._Hofman-Kami_ska	NA	40.0690990	Crania	0.008009128	0.014593624					
A18162_Bisonspp_ExtinctionBManitobaCA_ND	0.524144232	M	Cave	Jim_Burns	NA	50.318717	NA	0.628225936	0.012417749					
A18164_Bisonspp_ChinaBowl265ManitobaCA_ND	1.030337123	F	Cave	Jim_Burns	NA	50.592894	NA	0.048838484	0.013740586					
A18675_Bbonasus_Austria_Holocene	0.504673283	M	Cave	E._Hofman-Kami_ska	NA	48.066667	Crania	0.512904089	0.013643531					
A18676_Bbonasus_Austria_Holocene	0.506949117	M	Cave	E._Hofman-Kami_ska	NA	48.066667	Petrosal	0.685957408	0.01169588					
A18677_Bsp_Austria_MiddlePleistocene	0.523509843	M	NA	E._Hofman-Kami_ska	NA	48.116667	Crania	0.035358115	0.211853497					
A18685_Bbonasus_Poland_Holocene	0.445417837	M	NA	E._Hofman-Kami_ska	NA	50.0647	Crania	0.00279951	0.02094935					
