Cheiromeles parvidens	3	0	1.00
Cheiromeles torquatus	39	54	0.42
Chelemys macronyx	47	45	0.51
Chelemys megalonyx	2	4	0.33
Chibchanomys orcesi	7	0	1.00
Chilomys instans	18	13	0.58
Chilonatalus micropus	14	5	0.74
Chimarrogale hantu	5	2	0.71
Chimarrogale himalayica	9	15	0.38
Chimarrogale phaeura	4	0	1.00
Chimarrogale platycephalus	0	4	0.00
Chimarrogale styani	0	4	0.00
Chinchilla chinchilla	0	2	0.00
Chinchilla laniger	5	0	1.00
Chinchilla lanigera	5	0	1.00
Chinchillula sahamae	8	10	0.44
Chionomys gud	3	6	0.33
Chionomys nivalis	97	106	0.48
Chionomys roberti	38	37	0.51
Chiroderma doriae	1	4	0.20
Chiroderma improvisum	1	0	1.00
Chiroderma salvini	33	24	0.58
Chiroderma trinitatum	39	70	0.36
Chiroderma villosum	79	140	0.36
Chiromyscus chiropus	8	4	0.67
Chironax melanocephalus	49	69	0.42
Chironectes minimus	28	16	0.64
Chiropodomys gliroides	37	39	0.49
Chiropodomys karlkoopmani	0	2	0.00
Chiropodomys major	4	0	1.00
Chiropodomys majori	0	2	0.00
Chiropodomys muroides	0	1	0.00
Chiropotes albinasus	12	6	0.67
Chiropotes chiropotes	6	3	0.67
Chiropotes satanas	48	35	0.58
Chiruromys forbesi	80	98	0.45
Chiruromys lamia	12	12	0.50
Chiruromys vates	0	1	0.00
Chlorocebus aethiops	13	15	0.46
Chlorocebus cynosuros	9	16	0.36
Chlorocebus pygerythrus	33	41	0.45
Chlorocebus sabaeus	20	7	0.74
Chlorocebus tantalus	1	1	0.50
Chlorotalpa duthieae	4	2	0.67
Chodsigoa hypsibia	2	4	0.33
Chodsigoa lamula	2	0	1.00
Chodsigoa parca	0	1	0.00
Chodsigoa smithii	2	0	1.00
Choeroniscus godmani	13	12	0.52
Choeroniscus intermedius	3	5	0.38
Choeroniscus minor	19	35	0.35
Choeroniscus minor ?	0	1	0.00
Choeroniscus periosus	0	1	0.00
Choeronycteris mexicana	24	35	0.41
Choeropsis liberiensis	1	2	0.33
Choloepus didactylus	18	23	0.44
Choloepus hoffmanni	43	74	0.37
Chromidotilapia finleyi	0	2	0.00
Chrotogale owstoni	2	0	1.00
Chrotomys mindorensis	1	1	0.50
Chrotomys silaceus	1	1	0.50
Chrotomys whiteheadi	2	1	0.67
Chrotopterus auritus	102	41	0.71
Chrysochloris asiatica	8	7	0.53
Chrysochloris stuhlmanni	22	16	0.58
Chrysocyon brachyurus	6	1	0.86
Chrysospalax trevelyani	7	11	0.39
Chrysospalax villosus	1	2	0.33
Cistugo lesueuri	0	1	0.00
Civettictis civetta	42	29	0.59
Clethrionomys gapperi	1362	1284	0.51
Clethrionomys gapperi ?	1	3	0.25
Clethrionomys glareolus	38	33	0.54
Clethrionomys rutilus	49	47	0.51
Clethrionomys rutilus ?	1	1	0.50
Clethrionomys sp	2	5	0.29
Cloeotis percivali	18	23	0.44
Clyomys laticeps	1	0	1.00
Coccymys ruemmleri	33	20	0.62
Coelops frithi	4	0	1.00
Coelops robinsoni	4	0	1.00
Coendou bicolor	2	3	0.40
Coendou nycthemera	21	31	0.40
Coendou prehensilis	25	23	0.52
Coendou rothschildi	5	6	0.45
Coleura afra	224	184	0.55
Coleura seychellensis	6	2	0.75
Colobus angolensis	110	79	0.58
Colobus badius	132	167	0.44
Colobus guereza	229	197	0.54
Colobus kirkii	10	29	0.26
Colobus polykomos	75	58	0.56
Colobus satanas	20	14	0.59
Colomys goslingi	43	36	0.54
Condylura cristata	251	107	0.70
Conepatus chinga	8	4	0.67
Conepatus humboldtii	0	2	0.00
Conepatus leuconotus	4	1	0.80
Conepatus semistriatus	6	15	0.29
Conilurus penicillatus	2	2	0.50
Connochaetes gnou	11	10	0.52
Connochaetes taurinus	33	24	0.58
Cormura brevirostris	93	102	0.48
Corynorhinus mexicanus	3	4	0.43
Corynorhinus rafinesquii	2	3	0.40
