sample	sex	site_type	material	material2	lat	lon	alt	age	endog	Nx	Na	Lx	La	GC	readlen	C2T	G2A
A18677	M	Sediment	Horn	Crania	48.116667	16.85	173.1	NA	0.0353581150431	432	15701	148823899	2512082506	0.401788	74.0329	0.0445451	0.0655577
A18685	M	Sediment	OtherCrania	Crania	50.0647	19.945	214	NA	0.00279950988162	272	10918	148823899	2512082506	0.4361	60.0517	0.0231511	0.0533104
A18686	F	Sediment	Petrosal	Crania	47.641775	15.161567	1225.9	NA	0.725294177576	1034	19129	148823899	2512082506	0.417327	71.2865	0.0502714	0.039604
A18687	F	Sediment	Petrosal	Crania	47.864159	15.038217	617.2	NA	0.655344974446	1026	19025	148823899	2512082506	0.416322	74.8027	0.173686	0.09805
A18688	M	Sediment	Petrosal	Crania	47.559539	14.016526	878.8	NA	0.61610834654	564	19309	148823899	2512082506	0.423524	70.2294	0.202101	0.24627
A18689	M	Sediment	Petrosal	Crania	47.557102	14.020907	903.3	NA	0.632961211687	632	19556	148823899	2512082506	0.415439	73.0232	0.156884	0.13826
A18691	M	Sediment	Petrosal	Crania	53.1833	21.6833	98.6	NA	0.659432935422	534	19220	148823899	2512082506	0.420747	71.1564	0.175941	0.132333
A2943	M	Sediment	Foot	Postcrania	70.81	205.59	0.6	20703	0.0740639277974	578	19270	148823899	2512082506	0.417231	60.0397	0.0650765	0.0524328
A2946	F	Sediment	Foot	Postcrania	70.81	205.59	0.6	40893	0.505765078082	1143	18791	148823899	2512082506	0.405344	62.8089	0.0824093	0.0917431
A2949	F	Sediment	Foot	Postcrania	70.81	205.59	0.6	35356	0.216531113262	1081	18872	148823899	2512082506	0.423177	60.4751	0.0317132	0.0780933
A2960	M	Sediment	Foot	Postcrania	70.81	205.59	0.6	34123	0.0163439614925	323	10509	148823899	2512082506	0.425364	56.9691	0.0398517	0.0332452
A2965	M	Sediment	Foot	Postcrania	70.81	205.59	0.6	33718	0.467214855153	585	19144	148823899	2512082506	0.413374	57.2048	0.118846	0.114419
A3020	M	Sediment	Leg	Postcrania	45.674444	265.186111	368.8	7642	0.312507423769	465	19527	148823899	2512082506	0.470578	61.1661	0.030445	0.0316197
A3025	M	Sediment	Leg	Postcrania	45.674444	265.186111	368.8	8113	0.114237100348	157	5500	148823899	2512082506	0.432929	61.6162	0.135057	0.149171
A3036	M	Sediment	Leg	Postcrania	45.674444	265.186111	368.8	7530	0.109030478507	178	6083	148823899	2512082506	0.410798	62.3891	0.202661	0.163976
A3133	M	Sediment	Astragalus	Postcrania	63.158	220.684	997.5	30809	0.462899302844	528	19323	148823899	2512082506	0.494711	74.0437	0.0154588	0.00846183
A3266	M	Sediment	Leg	Postcrania	63	221	1097.4	42888	0.0907745898569	527	19440	148823899	2512082506	0.419772	53.2838	0.176888	0.1513
A6396	M	Sediment	Leg	Postcrania	64.05	220.47	544.6	38980	0.107549113866	597	19539	148823899	2512082506	0.408797	61.591	0.189318	0.17425
A710	F	Sediment	Astragalus	Postcrania	70.777081	205.607555	1.1	43052	0.0187069342159	645	12036	148823899	2512082506	0.418798	54.107	0.078508	0.100671
A858	M	Sediment	Leg	Postcrania	70.81	205.59	0.6	23378	0.145832330525	573	19603	148823899	2512082506	0.454525	53.9009	0.0631769	0.0505811
A859	M	Sediment	Leg	Postcrania	55.683	238.37	585	13111	0.004592934008	208	7070	148823899	2512082506	0.50316	43.6755	0.194122	0.235781
A860	M	Sediment	Foot	Postcrania	70.81	205.59	0.6	33154	0.166914818145	536	19417	148823899	2512082506	0.445128	70.3474	0.0150163	0.0134212
A861	M	Sediment	Leg	Postcrania	64.06	218.11	494.9	21751	0.280482457694	526	19347	148823899	2512082506	0.423275	72.3857	0.070273	0.0862364
A862	F	Cave	Leg	Postcrania	44.897	251.849	1199.2	3378	0.18849492722	1040	18856	148823899	2512082506	0.422163	66.6431	0.14083	0.231868
A864	F	Cave	Foot	Postcrania	66.45	221.47	487.4	15607	0.302212389381	1033	18751	148823899	2512082506	0.469314	65.6726	0.0350844	0.022544
A875	M	Sediment	Foot	Postcrania	NA	NA	NA	NA	0.53372103805	557	19598	148823899	2512082506	0.433546	54.9551	0.016503	0.0217603
A885	F	Sediment	Leg	Postcrania	64.0533333	218.1233333	572.9	14625	0.0308744419826	1076	18912	148823899	2512082506	0.4468	66.8804	0.0164009	0.0182788
A886	M	Sediment	Leg	Postcrania	70.81	205.59	0.6	14209	0.191214681953	603	19304	148823899	2512082506	0.41108	68.5446	0.182405	0.164034
A887	M	Sediment	Leg	Postcrania	70.81	205.59	0.6	12463	0.473018474694	499	19396	148823899	2512082506	0.432153	58.6287	0.0603845	0.0510088
A888	M	Sediment	Leg	Postcrania	64.06	218.11	494.9	15807	0.404183334328	566	19356	148823899	2512082506	0.447008	59.0876	0.147138	0.138596
A889	F	Cave	Leg	Postcrania	56.2763889	239.0625	741.1	12146	0.207497114765	753	12889	148823899	2512082506	0.400561	55.102	0.147722	0.207595
A892	M	Sediment	NA	NA	70.594	231.78	2	7005	0.112032711676	597	19218	148823899	2512082506	0.425176	63.2551	0.10201	0.07834
A893	M	Cave	Leg	Postcrania	67.031	216.932	204.4	10127	0.315432458055	543	19277	148823899	2512082506	0.414291	65.2456	0.22595	0.239005
A899	M	Sediment	Foot	Postcrania	70.81	205.59	0.6	13640	0.0287020396682	562	19314	148823899	2512082506	0.459768	56.2669	0.0651042	0.0840718
A900	M	Sediment	Foot	Postcrania	64.0078	220.6581	460.6	NA	0.0355966098208	520	19057	148823899	2512082506	0.428295	56.5085	0.195676	0.270203
A903	F	Sediment	Foot	Postcrania	65.12	212.513	215.7	15747	0.200507456727	956	19037	148823899	2512082506	0.449495	50.1221	0.0700132	0.0852911
A914	M	Sediment	Astragalus	Postcrania	70.81	205.59	0.6	32043	0.21809627422	547	19393	148823899	2512082506	0.42932	62.2745	0.0585596	0.0458459
A915	F	Sediment	Astragalus	Postcrania	70.81	205.59	0.6	25388	0.149038482599	1054	18876	148823899	2512082506	0.4376	65.5562	0.0552475	0.0781472
A916	M	Sediment	Foot	Postcrania	65.057	212.469	281.8	25255	0.00402593104781	394	12604	148823899	2512082506	0.465452	47.0885	0.0558491	0.0310458
A917	M	Sediment	Foot	Postcrania	64.84	212.04	159.7	31743	0.450754894811	573	19339	148823899	2512082506	0.439793	66.0804	0.0808905	0.0296534
A924	M	Sediment	Leg	Postcrania	64	218.8333333	952.1	NA	0.00967454761061	257	9205	148823899	2512082506	0.442216	51.2074	0.335599	0.326752
A929	F	Sediment	Foot	Postcrania	64.0533333	218.1233333	572.9	NA	0.360063291664	1079	18904	148823899	2512082506	0.44432	57.2528	0.263936	0.281082
A943	M	Cave	Foot	Postcrania	44.9733333	251.8069444	1511.1	NA	NA	582	19212	148823899	2512082506	0.394747	62.1595	0.0860421	0.0729855
A945	F	Sediment	Foot	Postcrania	63.99	220.958	420	31083	0.245432743008	1174	18844	148823899	2512082506	0.422884	61.0472	0.331947	0.262587
A946	M	Sediment	Foot	Postcrania	63.92	220.7	489.7	35419	0.159661124313	572	19390	148823899	2512082506	0.439999	50.6257	0.107689	0.107959
A947	M	Sediment	Astragalus	Postcrania	69.13185	206.405426	151.1	NA	0.18612978927	492	19201	148823899	2512082506	0.483685	58.2569	0.226076	0.139255
A952	F	Sediment	Leg	Postcrania	68.6166667	159.1333333	45.7	35583	0.315845238552	1058	18972	148823899	2512082506	0.407281	58.6853	0.0938315	0.0901983
A954	M	Sediment	Foot	Postcrania	68.6166667	159.1333333	45.7	50075	0.447205406414	539	19221	148823899	2512082506	0.431033	58.3677	0.0830565	0.0711387
A955	F	Sediment	Leg	Postcrania	NA	NA	NA	NA	0.323414680467	986	18942	148823899	2512082506	0.460876	64.1264	0.056314	0.0369732
A956	M	Sediment	Foot	Postcrania	NA	NA	NA	42121	0.295578184684	621	19360	148823899	2512082506	0.424829	61.4667	0.093114	0.0962641
A976	M	Sediment	OtherCrania	Crania	67.57	220.92	339.8	14408	0.111000426925	529	19329	148823899	2512082506	0.444173	56.7342	0.241354	0.208419
A977	F	Cave	Leg	Postcrania	64.05	220.577	320	15495	0.452674452259	1052	18867	148823899	2512082506	0.443632	66.1718	0.102374	0.113812
A978	M	Sediment	Foot	Postcrania	64.06	218.11	494.9	30497	0.49176165047	578	19300	148823899	2512082506	0.420582	57.2503	0.0697562	0.126509
