SampleID,ACAD Number,Sex Assignment,Location ,Region,Latitude,Site type,Bone Type,Collected From,Date,Endogenous,Endogenous2,Clonal,Raw_Mit,Uniq_Mit,Raw_Nuc,Uniq_Nuc,RatioMtNu
A154_MEGA17LIB2.2,154,M,Russia,Eurasia,43.836111,Anthropogenic,Undefined,Museum,0,0.005693441,0.005693441,0.016921981,6,6,5608,5513,0.001088337
A155_MEGA17LIB4.3,155,M,Russia,Eurasia,43.664519,Anthropogenic,Undefined,Museum,0,0.358627698,0.358627698,0.01760539,158,156,347122,341010,0.000457465
A156_MEGA17LIB4.4,156,M,Mongolia,Eurasia,48,Anthropogenic,Undefined,Museum,0,0.215526541,0.215526541,0.016528847,455,444,210933,207450,0.002140275
A169_Mega17lib15.1,169,M,USA,North America,55.631944,Cave,Long Bone,Museum,9995,0.016263917,0.016263917,0.026111994,408,405,19736,19213,0.021079477
A171_Mega17Lib25.1,171,F,Canada,North America,63.7333333,Sediment,Long Bone,Museum,,0.004035104,0.004035104,0.012141677,40,40,13879,13710,0.002917578
A173_MEGA17LIB11.1,173,M,Canada,North America,64,Sediment,Long Bone,Museum,36500,0.012915164,0.012915164,0.020181843,69,68,14449,14157,0.004803278
A176_MEGA17LIB11.2,176,M,USA,North America,64.8333333,Sediment,Long Bone,Museum,41787,0.020185788,0.020185788,0.015297182,59,59,21056,20733,0.002845705
A182_Mega17Lib25.3,182,F,Canada,North America,64,Sediment,Long Bone,Museum,,0.06041322,0.06041322,0.014962758,927,912,181526,178811,0.005100357
A186_MEGA17LIB11.3,186,F,Canada,North America,64.848406,Sediment,Long Bone,Museum,13760,0.398800785,0.398800785,0.016487098,345,339,444609,437279,0.000775249
A192_Mega17Lib21.12,192,M,USA,North America,55.631944,Cave,Tooth,Museum,,0.297789488,0.297789488,0.027086472,91,87,399555,388734,0.000223803
A195_Mega17Lib20.14,195,M,USA,North America,44.9733333,Mass death,Podial,Museum,,0.01358954,0.01358954,0.025162862,57,55,20052,19548,0.002813587
A293_MEGA17LIB11.6,293,F,USA,North America,64.837172,Sediment,Long Bone,Museum,53900,0.57224901,0.57224901,0.015861512,438,433,579078,569891,0.000759794
A306_MEGA17LIB11.8,306,M,USA,North America,64.8333333,Sediment,Ulna,Museum,20820,0.408762489,0.408762489,0.01628494,473,465,383440,377196,0.001232781
A312_MEGA17LIB11.11,312,M,USA,North America,64.8333333,Sediment,Tooth,Museum,10015,0.102789096,0.102789096,0.022578245,1779,1742,112446,109904,0.015850197
A323_Mega17Lib14.1,323,F,Canada,North America,64.8333333,Sediment,Long Bone,Museum,14150,0.024220476,0.024220476,0.026708996,91,87,28888,28118,0.003094103
A331_Mega17Lib14.3,331,M,USA,North America,65,Sediment,Crania,Museum,19027,0.014554814,0.014554814,0.031017059,165,159,19824,19210,0.008276939
A338_MEGA17LIB2.3,338,F,Scotland,Europe,58.135206,Cave,Undefined,Museum,2673,0.012263297,0.012263297,0.017864649,21,21,9495,9325,0.002252011
A339_Mega17Lib21.5,339,F,Scotland,Europe,58.135206,Cave,Undefined,Museum,2673,0.262604094,0.262604094,0.03659998,496,473,387537,373358,0.001266881
A341_Mega17lib15.4,341,M,Ohio,North America,40.58843,Mass death,Long Bone,Museum,,0.008453727,0.008453727,0.050834353,37,36,15484,14696,0.002449646
A407_MEGA17LIB5.2,407,M,Russia,Eurasia,70.583333,Sediment,Vertebrae,Museum,30660,0.0094959,0.0094959,0.055991285,47,46,9133,8620,0.005336427
